N_rows,Element Tree Strategy,Untangle Strategy,XML Dict Strategy
40000,215.0181007385254,2117.756128311157,408.9090824127197
39500,200.52218437194824,1900.5010051727295,375.41611671447754
39000,153.58904838562012,1817.2321605682373,349.76673126220703
38500,124.93300437927246,1856.07929229736328,370.25304794311523
38000,117.18130111694336,1730.67315292358398,364.42206382751465
37500,132.7980613708496,1690.2010917663574,339.57791328430176
37000,124.40609931945801,1650.68411827087402,276.7510414123535
36500,133.6829662322998,1639.5728588104248,282.61003494262695
36000,153.16104888916016,1608.20714950561523,269.99592781066895
35500,114.13693428039551,1607.8240203857422,294.7850227355957
35000,110.08214950561523,1560.7213535308838,327.6700973510742
34500,129.6858787536621,1530.52869033813477,277.6062488555908
34000,115.28396606445312,1730.3090877532959,338.76705169677734
33500,118.7950210571289,1710.3269577026367,345.0247573852539
33000,124.53508377075195,1758.49900245666504,270.07579803466797
32500,111.8009090423584,1707.14573860168457,280.2560329437256
32000,110.65292358398438,1692.0977020263672,280.94005584716797
31500,113.17896842956543,1672.05989837646484,270.0779438018799
31000,115.26012420654297,1651.96585655212402,293.49780082702637
30500,113.15083503723145,1652.21619606018066,298.569917678833
30000,120.75209617614746,1651.28588676452637,275.8009433746338
29500,110.7168197631836,1629.62404251098633,359.637975692749
29000,164.27874565124512,1621.5247974395752,286.6952419281006
28500,110.5799674987793,1610.04301071166992,291.61596298217773
28000,113.24691772460938,1608.01263809204102,273.8330364227295
27500,117.81883239746094,1595.68797492980957,275.5241394042969
27000,148.5738754272461,1581.1381530761719,301.5320301055908
26500,110.30697822570801,1571.64714241027832,293.75410079956055
26000,111.85574531555176,1576.88413047790527,269.6070671081543
25500,120.2077865600586,1530.5300998687744,271.07882499694824
25000,109.91382598876953,1480.87189865112305,285.0668430328369
24500,121.42705917358398,1500.0930061340332,277.5290012359619
24000,115.0820255279541,1496.68701171875,271.3949680328369
23500,111.41037940979004,1489.8200798034668,276.20983123779297
23000,110.0778579711914,1470.94588088989258,276.13186836242676
22500,112.6258373260498,1458.05291175842285,269.9158191680908
22000,113.78812789916992,1453.64480018615723,278.2330513000488
21500,112.03193664550781,1443.25092315673828,282.52577781677246
21000,119.89784240722656,1347.98498153686523,272.48430252075195
20500,124.21703338623047,1350.45714378356934,270.36213874816895
20000,110.26406288146973,1361.34285926818848,284.01994705200195
19500,111.75298690795898,1347.82476425170898,282.6838493347168
19000,116.4848804473877,1351.31497383117676,271.33798599243164
18500,109.06314849853516,1355.25197982788086,272.34411239624023
18000,108.95395278930664,1350.0229835510254,275.8288383483887
17500,111.76085472106934,1353.31578254699707,279.7560691833496
17000,120.54896354675293,1382.85703659057617,270.7099914550781
16500,110.00394821166992,1348.15306663513184,289.39080238342285
16000,109.94386672973633,1347.25399017333984,274.9607563018799
15500,111.30094528198242,1352.56285667419434,280.0750732421875
15000,119.36020851135254,1363.88225555419922,278.48029136657715
14500,110.40306091308594,1350.39372444152832,284.59692001342773
14000,118.68166923522949,1350.49409866333008,269.428014755249
13500,116.61195755004883,1366.31603240966797,270.9681987762451
13000,110.00490188598633,1307.32406616210938,293.302059173584
12500,112.8990650177002,1304.2489528656006,296.53000831604004
12000,111.72127723693848,1303.886079788208,291.57304763793945
11500,117.53392219543457,1300.34589767456055,282.1528911590576
11000,110.05783081054688,1286.99814796447754,305.9689998626709
10500,120.65410614013672,1285.47821044921875,277.6052951812744
10000,124.33576583862305,1275.75599670410156,274.0349769592285
9500,110.42428016662598,1274.74295616149902,274.7359275817871
9000,109.84086990356445,1278.94890785217285,248.0637741088867
8500,110.24188995361328,1271.09917640686035,243.8730812072754
8000,110.06712913513184,1280.39898300170898,244.1848373413086
7500,123.37297439575195,1267.81468391418457,250.6680583953857
7000,124.73626136779785,1211.1707401275635,254.54787826538086
6500,121.2987518310547,1200.0770740509033,253.22832107543945
6000,113.78979682922363,1100.3849754333496,256.54504776000977
5500,113.39807510375977,1108.28990936279297,261.3277244567871
5000,110.66079139709473,1080.21695518493652,265.2349281311035
4500,115.33284187316895,1071.51395988464355,267.139892578125
4000,125.62799453735352,1071.53413200378418,270.2188491821289
3500,122.92623519897461,1046.9368839263916,275.26402473449707
3000,112.17784881591797,1002.4200916290283,307.57665634155273
2500,125.88000297546387,1054.89506721496582,284.82985496520996
2000,112.79726028442383,1016.2909984588623,285.0770950317383
1500,114.93301391601562,1007.24610328674316,272.1669673919678
1000,115.60320854187012,1008.65111351013184,290.03310203552246
500,122.39313125610352,996.56212043762207,284.559965133667
